"IATA","Airport Name","City Name","Country Name","WAC State","WAC Sub Country","WAC Country","Longitude","Latitude","Eff From","Eff To"
"DUS","Dusseldorf Rhein Rhur Airport","Duesseldorf","Germany","","","429","006.46.00E","51.17.22N","01Feb2000","30Jun2000"
"DUS","Dusseldorf Rhein Ruhr Airport","Duesseldorf","Germany","","","429","006.46.00E","51.17.22N","01Jul2000","31Jul2005"
"DUS","Duesseldorf International Airport","Duesseldorf","Germany","","","429","006.46.00E","51.17.22N","01Aug2005","31Dec2038"
"EIB","Eisenach","Eisenach","Germany","","","429","010.28.22E","50.59.34N","01Aug2006","31Dec2038"
"EME","Emden","Emden","Germany","","","429","007.13.32E","53.23.28N","01Jan1996","31Dec1997"
"EME","Emden","Emden","Germany","","","429","007.13.32E","53.23.28N","01Mar2000","31Oct2000"
"EME","Emden","Emden","Germany","","","429","007.13.32E","53.23.28N","01Dec2000","31Mar2001"
"EME","Emden","Emden","Germany","","","429","007.13.32E","53.23.28N","01Apr2002","31Oct2006"
"EME","Emden","Emden","Germany","","","429","007.13.32E","53.23.28N","01Dec2006","31Dec2038"
"ERF","Erfurt","Erfurt","Germany","","","429","010.57.29E","50.58.47N","01Jan1996","31Dec2038"
"ESS","Essen","Essen","Germany","","","429","006.56.14E","51.24.08N","01Jan1996","31Dec2038"
"EUM","Neumunster","Neumunster","Germany","","","429","009.56.31E","54.04.47N","01Aug2006","31Dec2038"
"FCN","Cuxhaven","Cuxhaven","Germany","","","429","008.39.31E","53.46.03N","01Apr2006","31Oct2006"
